stt,date,Latitude,Longitude,density,class
0,1/1/2019,41.764877,-87.666635,216,Sparse
1,1/2/2019,41.765008,-87.657067,158,Sparse
2,1/3/2019,41.765153,-87.647751,2240,Normal
3,1/4/2019,41.765204,-87.644371,1599,Normal
4,1/5/2019,41.765644,-87.618476,661,Sparse
5,1/6/2019,41.76626,-87.574226,697,Sparse
6,1/7/2019,41.739836,-87.551476,2022,Normal
7,1/8/2019,41.732725,-87.55132,3088,Normal
8,1/9/2019,41.724444,-87.551124,3194,Normal
9,1/10/2019,41.718183,-87.551016,7973,Normal
10,1/11/2019,41.820171,-87.606798,11931,Crowded
11,1/12/2019,41.807987,-87.606532,8984,Crowded
12,1/13/2019,41.797881,-87.606302,8457,Crowded
13,1/14/2019,41.78269,-87.605979,8096,Crowded
14,1/15/2019,41.775779,-87.605826,7546,Normal
15,1/16/2019,41.770685,-87.605711,4016,Normal
16,1/17/2019,41.760801,-87.605452,5318,Normal
17,1/18/2019,41.734791,-87.604779,6732,Normal
18,1/19/2019,41.710922,-87.60573,6040,Normal
19,1/20/2019,41.859378,-87.676043,7023,Normal
20,1/21/2019,41.854926,-87.67592,7672,Normal
21,1/22/2019,41.850395,-87.67579,4181,Normal
22,1/23/2019,41.844875,-87.675652,3952,Normal
23,1/24/2019,41.830389,-87.675279,492,Sparse
24,1/25/2019,41.827625,-87.675208,1082,Normal
25,1/26/2019,41.803741,-87.674569,574,Sparse
26,1/27/2019,41.785746,-87.674075,550,Sparse
27,1/28/2019,41.770409,-87.673671,376,Sparse
28,1/29/2019,41.757363,-87.673336,14916,Crowded
29,1/30/2019,41.838419,-87.617465,345,Sparse
30,1/31/2019,41.825982,-87.617039,215,Sparse
31,2/1/2019,41.814852,-87.616741,639,Sparse
32,2/2/2019,41.795094,-87.615989,688,Sparse
33,2/3/2019,41.754187,-87.615027,2265,Normal
34,2/4/2019,41.726239,-87.614254,7379,Normal
35,2/5/2019,41.706494,-87.613745,3254,Normal
36,2/6/2019,41.755798,-87.55646,2093,Normal
37,2/7/2019,41.7504,-87.5528,1390,Normal
38,2/8/2019,41.863938,-87.622471,2098,Normal
39,2/9/2019,41.85566,-87.62228,14343,Crowded
40,2/10/2019,41.832167,-87.621788,2070,Normal
41,2/11/2019,41.828022,-87.621694,2169,Normal
42,2/12/2019,41.787779,-87.620665,2510,Normal
43,2/13/2019,41.707611,-87.529702,2019,Normal
44,2/14/2019,41.775215,-87.575158,2044,Normal
45,2/15/2019,41.77038,-87.576414,1880,Normal
46,2/16/2019,41.761454,-87.576196,2019,Normal
47,2/17/2019,41.747152,-87.575902,3457,Normal
48,2/18/2019,41.737902,-87.575714,8188,Crowded
49,2/19/2019,41.739269,-87.575753,8390,Crowded
50,2/20/2019,41.719732,-87.57529,4049,Normal
51,2/21/2019,41.760689,-87.615174,4735,Normal
